year,ex_us_unhedged_tr_real
1950,
1951,
1952,
1953,
1954,
1955,
1956,
1957,
1958,
1959,
1960,0.21245807865352484
1961,0.12246769665007995
1962,-0.084364040388889
1963,0.09345753258095124
1964,-0.046450087314501065
1965,-0.014976342569951173
1966,0.00984178427614868
1967,0.09952487618406036
1968,0.19955819237761108
1969,0.10966556489060042
1970,-0.07295546548155007
1971,0.24124558257809992
1972,0.33157749288963445
1973,0.04573109996385516
1974,-0.2908370745819878
1975,0.23795314361268427
1976,0.01778465434823251
1977,0.26648516410530676
1978,0.1860255098058785
1979,-0.10747458711048974
1980,0.07603786624851261
1981,-0.08821497313514093
1982,-0.05112163725882812
1983,0.19856971552337965
1984,0.04994534660166794
1985,0.5648182855976698
1986,0.5843493272117266
1987,0.5309834123046122
1988,0.06715224513387885
1989,0.08245244289217601
1990,-0.09919497134584776
1991,-0.013330159678325404
1992,-0.1753427145099118
1993,0.25129034478042267
1994,0.08450619719891828
1995,0.012697545350626172
1996,0.11509384744531514
1997,0.08729412696960392
1998,0.13072487798022703
1999,0.20588510596526755
2000,-0.1015353702152536
2001,-0.22719431088451292
2002,-0.143222712356887
2003,0.3317305352987028
2004,0.21882806299400848
2005,0.041654221943824954
2006,0.30889399527975114
2007,0.10477191197246172
2008,-0.36673874835892417
2009,0.24057503704147276
2010,0.05739812239410513
2011,-0.11508554282245775
2012,0.0999074577905601
2013,0.27312465347601567
2014,-0.0538932927096647
2015,-0.015882826573198505
2016,-0.00507006561257195
2017,0.2252660963928892
2018,-0.15162193454671935
2019,0.18958807178224313
2020,0.06006817397870412
2021,0.041843471043510716
2022,-0.19108480482090784
2023,0.1404174971500931
2024,0.005295704252020306
2025,0.2707749458688491
