year,ex_us_hedged_er,ex_us_unhedged_er
1950,-0.132841742,0.079709494
1951,0.308512749,0.301607268
1952,0.313000563,0.392670556
1953,0.286016934,0.306248016
1954,0.301649875,0.327574856
1955,0.115611779,0.15645432
1956,0.137973482,0.155433471
1957,0.011592681,0.044751356
1958,0.171125284,0.210897198
1959,0.420580391,0.432350192
1960,0.146556497,0.196754282
1961,0.072112136,0.110504855
1962,-0.093322386,-0.099250667
1963,0.050228808,0.07965074
1964,-0.095458739,-0.072257993
1965,-0.04227428,-0.036792049
1966,-0.006625034,-0.006361608
1967,0.124914978,0.090796805
1968,0.186366381,0.199406139
1969,0.107668711,0.096352449
1970,-0.090751507,-0.092962648
1971,0.096190043,0.235130364
1972,0.321367239,0.332447948
1973,-0.027550019,0.049489404
1974,-0.3288221,-0.308380878
1975,0.308754515,0.265607711
1976,-0.006765573,0.016703662
1977,0.164443647,0.295949396
1978,0.087075282,0.213658468
1979,0.012405365,-0.100761255
1980,0.032478594,0.077304581
1981,0.021098763,-0.170508802
1982,0.004146748,-0.136932031
1983,0.224979394,0.153105819
1984,0.13946343,-0.011104465
1985,0.284988696,0.54327147
1986,0.314180002,0.533766768
1987,0.269460296,0.53226859
1988,0.095766687,0.038404106
1989,0.148031028,0.040614137
1990,-0.252780792,-0.125161689
1991,-0.099794442,-0.039924398
1992,-0.147746979,-0.186707843
1993,0.212019881,0.255457226
1994,-0.031734218,0.071476014
1995,-0.012734115,-0.019946361
1996,0.167149659,0.099003856
1997,0.172212329,0.051190542
1998,0.057494447,0.095433115
1999,0.241767301,0.188550782
2000,-0.017681075,-0.13364456
2001,-0.182877253,-0.253909575
2002,-0.300354031,-0.139519197
2003,0.170659968,0.345496371
2004,0.172812724,0.244973088
2005,0.181893001,0.045074336
2006,0.229070255,0.29248465
2007,0.032282775,0.09969012
2008,-0.372758651,-0.385414054
2009,0.206807969,0.272739898
2010,0.04868953,0.071461856
2011,-0.0930849,-0.089884038
2012,0.120146376,0.117652191
2013,0.315749914,0.291171329
2014,0.055109811,-0.047628928
2015,0.043325994,-0.010030836
2016,0.058341296,0.011608873
2017,0.157630979,0.241071979
2018,-0.109587876,-0.153753979
2019,0.222273711,0.195206775
2020,0.016081773,0.070786073
2021,0.195824199,0.114351506
2022,-0.061839819,-0.155711622
2023,0.147202179,0.12838501
2024,0.080715893,-0.016813223
2025,0.195722348,0.262878128
